2019-04-24 10:27:20.654501: [training]
2019-04-24 10:27:37.811543: [training]
2019-04-24 10:27:39.743560: iter: [1/30], train_loss: 0.571076, valid_loss: 0.001525, best_valid_loss: 0.001525, lr: 0.01000
2019-04-24 10:27:41.560808: iter: [2/30], train_loss: 0.011639, valid_loss: 0.001253, best_valid_loss: 0.001253, lr: 0.01000
2019-04-24 10:27:43.316971: iter: [3/30], train_loss: 0.009797, valid_loss: 0.001358, best_valid_loss: 0.001253, lr: 0.01000
2019-04-24 10:27:45.123378: iter: [4/30], train_loss: 0.007847, valid_loss: 0.001194, best_valid_loss: 0.001194, lr: 0.01000
2019-04-24 10:27:46.933647: iter: [5/30], train_loss: 0.006651, valid_loss: 0.000594, best_valid_loss: 0.000594, lr: 0.01000
2019-04-24 10:27:48.704768: iter: [6/30], train_loss: 0.004751, valid_loss: 0.001581, best_valid_loss: 0.000594, lr: 0.01000
2019-04-24 10:27:50.498587: iter: [7/30], train_loss: 0.004051, valid_loss: 0.001112, best_valid_loss: 0.000594, lr: 0.01000
2019-04-24 10:27:52.276005: iter: [8/30], train_loss: 0.003321, valid_loss: 0.001205, best_valid_loss: 0.000594, lr: 0.01000
2019-04-24 10:27:54.124169: iter: [9/30], train_loss: 0.002966, valid_loss: 0.000218, best_valid_loss: 0.000218, lr: 0.01000
2019-04-24 10:27:55.956130: iter: [10/30], train_loss: 0.002110, valid_loss: 0.000304, best_valid_loss: 0.000218, lr: 0.01000
2019-04-24 10:27:57.811534: iter: [11/30], train_loss: 0.001759, valid_loss: 0.000153, best_valid_loss: 0.000153, lr: 0.01000
2019-04-24 10:27:59.616717: iter: [12/30], train_loss: 0.001751, valid_loss: 0.000160, best_valid_loss: 0.000153, lr: 0.01000
2019-04-24 10:28:01.431448: iter: [13/30], train_loss: 0.002009, valid_loss: 0.000307, best_valid_loss: 0.000153, lr: 0.01000
2019-04-24 10:28:03.255174: iter: [14/30], train_loss: 0.001695, valid_loss: 0.000342, best_valid_loss: 0.000153, lr: 0.01000
2019-04-24 10:28:05.061046: iter: [15/30], train_loss: 0.001455, valid_loss: 0.000286, best_valid_loss: 0.000153, lr: 0.01000
2019-04-24 10:28:06.901291: iter: [16/30], train_loss: 0.001321, valid_loss: 0.000150, best_valid_loss: 0.000150, lr: 0.01000
2019-04-24 10:28:08.720050: iter: [17/30], train_loss: 0.001386, valid_loss: 0.000151, best_valid_loss: 0.000150, lr: 0.01000
