2019-04-24 10:28:32.805573: [training]
2019-04-24 10:28:34.667751: iter: [1/30], train_loss: 0.013574, valid_loss: 0.000390, best_valid_loss: 0.000390, lr: 0.01000
2019-04-24 10:28:36.505207: iter: [2/30], train_loss: 0.003134, valid_loss: 0.000299, best_valid_loss: 0.000299, lr: 0.01000
2019-04-24 10:28:38.376769: iter: [3/30], train_loss: 0.004711, valid_loss: 0.000252, best_valid_loss: 0.000252, lr: 0.01000
2019-04-24 10:28:40.320687: iter: [4/30], train_loss: 0.003177, valid_loss: 0.000233, best_valid_loss: 0.000233, lr: 0.01000
2019-04-24 10:28:42.285978: iter: [5/30], train_loss: 0.004424, valid_loss: 0.000212, best_valid_loss: 0.000212, lr: 0.01000
2019-04-24 10:28:44.222183: iter: [6/30], train_loss: 0.006560, valid_loss: 0.000413, best_valid_loss: 0.000212, lr: 0.01000
2019-04-24 10:28:46.216489: iter: [7/30], train_loss: 0.002163, valid_loss: 0.000168, best_valid_loss: 0.000168, lr: 0.01000
2019-04-24 10:28:48.125249: iter: [8/30], train_loss: 0.001613, valid_loss: 0.000356, best_valid_loss: 0.000168, lr: 0.01000
2019-04-24 10:28:50.065589: iter: [9/30], train_loss: 0.001556, valid_loss: 0.000127, best_valid_loss: 0.000127, lr: 0.01000
2019-04-24 10:28:51.997317: iter: [10/30], train_loss: 0.001785, valid_loss: 0.000117, best_valid_loss: 0.000117, lr: 0.01000
2019-04-24 10:28:53.963928: iter: [11/30], train_loss: 0.001054, valid_loss: 0.000093, best_valid_loss: 0.000093, lr: 0.01000
2019-04-24 10:28:55.892747: iter: [12/30], train_loss: 0.001218, valid_loss: 0.000111, best_valid_loss: 0.000093, lr: 0.01000
2019-04-24 10:28:57.833674: iter: [13/30], train_loss: 0.001300, valid_loss: 0.000096, best_valid_loss: 0.000093, lr: 0.01000
2019-04-24 10:28:59.750699: iter: [14/30], train_loss: 0.000950, valid_loss: 0.000094, best_valid_loss: 0.000093, lr: 0.01000
2019-04-24 10:29:01.732899: iter: [15/30], train_loss: 0.001150, valid_loss: 0.000073, best_valid_loss: 0.000073, lr: 0.01000
2019-04-24 10:29:03.603648: iter: [16/30], train_loss: 0.000934, valid_loss: 0.000085, best_valid_loss: 0.000073, lr: 0.01000
2019-04-24 10:29:05.563222: iter: [17/30], train_loss: 0.000745, valid_loss: 0.000055, best_valid_loss: 0.000055, lr: 0.01000
2019-04-24 10:29:07.480044: iter: [18/30], train_loss: 0.000729, valid_loss: 0.000064, best_valid_loss: 0.000055, lr: 0.01000
2019-04-24 10:29:09.417016: iter: [19/30], train_loss: 0.000716, valid_loss: 0.000068, best_valid_loss: 0.000055, lr: 0.01000
2019-04-24 10:29:11.281637: iter: [20/30], train_loss: 0.000776, valid_loss: 0.000062, best_valid_loss: 0.000055, lr: 0.01000
2019-04-24 10:29:13.191867: iter: [21/30], train_loss: 0.000741, valid_loss: 0.000067, best_valid_loss: 0.000055, lr: 0.01000
2019-04-24 10:29:15.134644: iter: [22/30], train_loss: 0.000697, valid_loss: 0.000063, best_valid_loss: 0.000055, lr: 0.01000
2019-04-24 10:29:17.075437: iter: [23/30], train_loss: 0.000698, valid_loss: 0.000064, best_valid_loss: 0.000055, lr: 0.01000
2019-04-24 10:29:18.982451: iter: [24/30], train_loss: 0.000771, valid_loss: 0.000067, best_valid_loss: 0.000055, lr: 0.01000
2019-04-24 10:29:20.906631: iter: [25/30], train_loss: 0.000945, valid_loss: 0.000050, best_valid_loss: 0.000050, lr: 0.01000
2019-04-24 10:29:22.783845: iter: [26/30], train_loss: 0.000697, valid_loss: 0.000062, best_valid_loss: 0.000050, lr: 0.01000
2019-04-24 10:29:24.704024: iter: [27/30], train_loss: 0.000725, valid_loss: 0.000055, best_valid_loss: 0.000050, lr: 0.01000
2019-04-24 10:29:26.619129: iter: [28/30], train_loss: 0.000748, valid_loss: 0.000063, best_valid_loss: 0.000050, lr: 0.01000
2019-04-24 10:29:28.588473: iter: [29/30], train_loss: 0.000702, valid_loss: 0.000073, best_valid_loss: 0.000050, lr: 0.01000
2019-04-24 10:29:30.497683: iter: [30/30], train_loss: 0.000779, valid_loss: 0.000059, best_valid_loss: 0.000050, lr: 0.01000
2019-04-24 10:52:01.053212: [training]
2019-04-24 10:52:02.904892: iter: [1/30], train_loss: 0.011508, valid_loss: 0.005631, best_valid_loss: 0.005631, lr: 0.01000
2019-04-24 10:52:04.729615: iter: [2/30], train_loss: 0.006396, valid_loss: 0.002582, best_valid_loss: 0.002582, lr: 0.01000
2019-04-24 10:52:06.551114: iter: [3/30], train_loss: 0.008479, valid_loss: 0.002270, best_valid_loss: 0.002270, lr: 0.01000
2019-04-24 10:52:08.382333: iter: [4/30], train_loss: 0.004920, valid_loss: 0.000664, best_valid_loss: 0.000664, lr: 0.01000
2019-04-24 10:52:10.186755: iter: [5/30], train_loss: 0.004089, valid_loss: 0.000206, best_valid_loss: 0.000206, lr: 0.01000
2019-04-24 10:52:11.969305: iter: [6/30], train_loss: 0.004785, valid_loss: 0.000221, best_valid_loss: 0.000206, lr: 0.01000
2019-04-24 10:52:13.786782: iter: [7/30], train_loss: 0.001699, valid_loss: 0.000139, best_valid_loss: 0.000139, lr: 0.01000
2019-04-24 10:52:15.573877: iter: [8/30], train_loss: 0.001994, valid_loss: 0.000167, best_valid_loss: 0.000139, lr: 0.01000
2019-04-24 10:52:17.405307: iter: [9/30], train_loss: 0.001452, valid_loss: 0.000142, best_valid_loss: 0.000139, lr: 0.01000
2019-04-24 10:52:19.313347: iter: [10/30], train_loss: 0.001455, valid_loss: 0.000184, best_valid_loss: 0.000139, lr: 0.01000
2019-04-24 10:52:21.247093: iter: [11/30], train_loss: 0.001323, valid_loss: 0.000279, best_valid_loss: 0.000139, lr: 0.01000
2019-04-24 10:52:23.165839: iter: [12/30], train_loss: 0.001378, valid_loss: 0.000165, best_valid_loss: 0.000139, lr: 0.01000
2019-04-24 10:52:25.116279: iter: [13/30], train_loss: 0.001632, valid_loss: 0.000130, best_valid_loss: 0.000130, lr: 0.01000
2019-04-24 10:52:27.028083: iter: [14/30], train_loss: 0.001253, valid_loss: 0.000127, best_valid_loss: 0.000127, lr: 0.01000
2019-04-24 10:52:28.935787: iter: [15/30], train_loss: 0.001340, valid_loss: 0.000098, best_valid_loss: 0.000098, lr: 0.01000
2019-04-24 10:52:30.798863: iter: [16/30], train_loss: 0.001191, valid_loss: 0.000117, best_valid_loss: 0.000098, lr: 0.01000
2019-04-24 10:52:32.733660: iter: [17/30], train_loss: 0.001001, valid_loss: 0.000086, best_valid_loss: 0.000086, lr: 0.01000
2019-04-24 10:52:34.599348: iter: [18/30], train_loss: 0.001028, valid_loss: 0.000092, best_valid_loss: 0.000086, lr: 0.01000
2019-04-24 10:52:36.456694: iter: [19/30], train_loss: 0.000982, valid_loss: 0.000110, best_valid_loss: 0.000086, lr: 0.01000
2019-04-24 10:52:38.349370: iter: [20/30], train_loss: 0.001042, valid_loss: 0.000095, best_valid_loss: 0.000086, lr: 0.01000
2019-04-24 10:52:40.241149: iter: [21/30], train_loss: 0.001018, valid_loss: 0.000105, best_valid_loss: 0.000086, lr: 0.01000
2019-04-24 10:52:42.132222: iter: [22/30], train_loss: 0.000966, valid_loss: 0.000094, best_valid_loss: 0.000086, lr: 0.01000
2019-04-24 10:52:44.018524: iter: [23/30], train_loss: 0.000964, valid_loss: 0.000094, best_valid_loss: 0.000086, lr: 0.01000
2019-04-24 10:52:45.908694: iter: [24/30], train_loss: 0.001059, valid_loss: 0.000101, best_valid_loss: 0.000086, lr: 0.01000
2019-04-24 10:52:47.830273: iter: [25/30], train_loss: 0.001107, valid_loss: 0.000085, best_valid_loss: 0.000085, lr: 0.01000
2019-04-24 10:52:49.697066: iter: [26/30], train_loss: 0.000925, valid_loss: 0.000090, best_valid_loss: 0.000085, lr: 0.01000
2019-04-24 10:52:51.622862: iter: [27/30], train_loss: 0.000989, valid_loss: 0.000083, best_valid_loss: 0.000083, lr: 0.01000
2019-04-24 10:52:53.459033: iter: [28/30], train_loss: 0.001022, valid_loss: 0.000091, best_valid_loss: 0.000083, lr: 0.01000
2019-04-24 10:52:55.327240: iter: [29/30], train_loss: 0.000996, valid_loss: 0.000123, best_valid_loss: 0.000083, lr: 0.01000
2019-04-24 10:52:57.211400: iter: [30/30], train_loss: 0.001132, valid_loss: 0.000090, best_valid_loss: 0.000083, lr: 0.01000
2019-04-24 11:18:39.467262: [training]
2019-04-24 11:18:41.317410: iter: [1/30], train_loss: 0.012418, valid_loss: 0.006149, best_valid_loss: 0.006149, lr: 0.01000
2019-04-24 11:18:43.142747: iter: [2/30], train_loss: 0.005836, valid_loss: 0.001743, best_valid_loss: 0.001743, lr: 0.01000
2019-04-24 11:18:44.976457: iter: [3/30], train_loss: 0.004982, valid_loss: 0.000274, best_valid_loss: 0.000274, lr: 0.01000
2019-04-24 11:18:46.798433: iter: [4/30], train_loss: 0.002091, valid_loss: 0.000203, best_valid_loss: 0.000203, lr: 0.01000
2019-04-24 11:18:48.620717: iter: [5/30], train_loss: 0.004207, valid_loss: 0.000245, best_valid_loss: 0.000203, lr: 0.01000
2019-04-24 11:18:50.580840: iter: [6/30], train_loss: 0.004095, valid_loss: 0.000178, best_valid_loss: 0.000178, lr: 0.01000
2019-04-24 11:18:52.490972: iter: [7/30], train_loss: 0.001731, valid_loss: 0.000189, best_valid_loss: 0.000178, lr: 0.01000
2019-04-24 11:18:54.461096: iter: [8/30], train_loss: 0.002013, valid_loss: 0.000126, best_valid_loss: 0.000126, lr: 0.01000
2019-04-24 11:18:56.388072: iter: [9/30], train_loss: 0.001378, valid_loss: 0.000126, best_valid_loss: 0.000126, lr: 0.01000
