2019-04-24 10:32:19.377087: [training]
2019-04-24 10:32:21.404009: iter: [1/30], train_loss: 0.557602, valid_loss: 0.001996, best_valid_loss: 0.001996, lr: 0.01000
2019-04-24 10:32:23.262727: iter: [2/30], train_loss: 0.016039, valid_loss: 0.002028, best_valid_loss: 0.001996, lr: 0.01000
2019-04-24 10:32:25.159814: iter: [3/30], train_loss: 0.012634, valid_loss: 0.000866, best_valid_loss: 0.000866, lr: 0.01000
2019-04-24 10:32:27.062232: iter: [4/30], train_loss: 0.009248, valid_loss: 0.000715, best_valid_loss: 0.000715, lr: 0.01000
2019-04-24 10:32:28.962946: iter: [5/30], train_loss: 0.007298, valid_loss: 0.000444, best_valid_loss: 0.000444, lr: 0.01000
2019-04-24 10:32:30.833703: iter: [6/30], train_loss: 0.005816, valid_loss: 0.000496, best_valid_loss: 0.000444, lr: 0.01000
2019-04-24 10:32:32.839561: iter: [7/30], train_loss: 0.005259, valid_loss: 0.000413, best_valid_loss: 0.000413, lr: 0.01000
2019-04-24 10:32:34.850836: iter: [8/30], train_loss: 0.004569, valid_loss: 0.000333, best_valid_loss: 0.000333, lr: 0.01000
2019-04-24 10:32:36.708350: iter: [9/30], train_loss: 0.004397, valid_loss: 0.000390, best_valid_loss: 0.000333, lr: 0.01000
2019-04-24 10:32:38.579754: iter: [10/30], train_loss: 0.004063, valid_loss: 0.000335, best_valid_loss: 0.000333, lr: 0.01000
2019-04-24 10:32:40.516758: iter: [11/30], train_loss: 0.003093, valid_loss: 0.000238, best_valid_loss: 0.000238, lr: 0.01000
2019-04-24 10:32:42.411378: iter: [12/30], train_loss: 0.002799, valid_loss: 0.000368, best_valid_loss: 0.000238, lr: 0.01000
2019-04-24 10:32:44.284148: iter: [13/30], train_loss: 0.003972, valid_loss: 0.000384, best_valid_loss: 0.000238, lr: 0.01000
2019-04-24 10:32:46.194571: iter: [14/30], train_loss: 0.003587, valid_loss: 0.000368, best_valid_loss: 0.000238, lr: 0.01000
2019-04-24 10:32:48.086098: iter: [15/30], train_loss: 0.005876, valid_loss: 0.000554, best_valid_loss: 0.000238, lr: 0.01000
2019-04-24 10:32:50.014574: iter: [16/30], train_loss: 0.004466, valid_loss: 0.000256, best_valid_loss: 0.000238, lr: 0.01000
2019-04-24 10:32:51.926112: iter: [17/30], train_loss: 0.002864, valid_loss: 0.000248, best_valid_loss: 0.000238, lr: 0.01000
2019-04-24 10:32:53.909703: iter: [18/30], train_loss: 0.002756, valid_loss: 0.000226, best_valid_loss: 0.000226, lr: 0.01000
2019-04-24 10:32:55.875116: iter: [19/30], train_loss: 0.003072, valid_loss: 0.000202, best_valid_loss: 0.000202, lr: 0.01000
2019-04-24 10:32:57.786271: iter: [20/30], train_loss: 0.003039, valid_loss: 0.000218, best_valid_loss: 0.000202, lr: 0.01000
2019-04-24 10:32:59.904389: iter: [21/30], train_loss: 0.002752, valid_loss: 0.000206, best_valid_loss: 0.000202, lr: 0.01000
2019-04-24 10:33:02.063314: iter: [22/30], train_loss: 0.002722, valid_loss: 0.000198, best_valid_loss: 0.000198, lr: 0.01000
2019-04-24 10:33:04.114923: iter: [23/30], train_loss: 0.002813, valid_loss: 0.000200, best_valid_loss: 0.000198, lr: 0.01000
2019-04-24 10:33:06.255833: iter: [24/30], train_loss: 0.002893, valid_loss: 0.000233, best_valid_loss: 0.000198, lr: 0.01000
2019-04-24 10:33:08.342408: iter: [25/30], train_loss: 0.002452, valid_loss: 0.000227, best_valid_loss: 0.000198, lr: 0.01000
2019-04-24 10:33:10.482062: iter: [26/30], train_loss: 0.002365, valid_loss: 0.000242, best_valid_loss: 0.000198, lr: 0.01000
2019-04-24 10:33:12.542480: iter: [27/30], train_loss: 0.002427, valid_loss: 0.000229, best_valid_loss: 0.000198, lr: 0.01000
2019-04-24 10:33:14.608239: iter: [28/30], train_loss: 0.002496, valid_loss: 0.000201, best_valid_loss: 0.000198, lr: 0.01000
2019-04-24 10:33:16.879283: iter: [29/30], train_loss: 0.003119, valid_loss: 0.000179, best_valid_loss: 0.000179, lr: 0.01000
2019-04-24 10:33:18.926491: iter: [30/30], train_loss: 0.002369, valid_loss: 0.000237, best_valid_loss: 0.000179, lr: 0.01000
2019-04-24 11:13:09.988834: [training]
2019-04-24 11:13:12.008235: iter: [1/30], train_loss: 0.557510, valid_loss: 0.002066, best_valid_loss: 0.002066, lr: 0.01000
2019-04-24 11:13:13.876562: iter: [2/30], train_loss: 0.015460, valid_loss: 0.001967, best_valid_loss: 0.001967, lr: 0.01000
2019-04-24 11:13:15.749886: iter: [3/30], train_loss: 0.011520, valid_loss: 0.000805, best_valid_loss: 0.000805, lr: 0.01000
2019-04-24 11:13:17.620561: iter: [4/30], train_loss: 0.008600, valid_loss: 0.000776, best_valid_loss: 0.000776, lr: 0.01000
2019-04-24 11:13:19.497174: iter: [5/30], train_loss: 0.006963, valid_loss: 0.000451, best_valid_loss: 0.000451, lr: 0.01000
2019-04-24 11:13:21.375578: iter: [6/30], train_loss: 0.005689, valid_loss: 0.000446, best_valid_loss: 0.000446, lr: 0.01000
2019-04-24 11:13:23.267714: iter: [7/30], train_loss: 0.005029, valid_loss: 0.000375, best_valid_loss: 0.000375, lr: 0.01000
2019-04-24 11:13:25.108607: iter: [8/30], train_loss: 0.004521, valid_loss: 0.000398, best_valid_loss: 0.000375, lr: 0.01000
2019-04-24 11:13:26.988734: iter: [9/30], train_loss: 0.004354, valid_loss: 0.001094, best_valid_loss: 0.000375, lr: 0.01000
2019-04-24 11:13:28.860541: iter: [10/30], train_loss: 0.004734, valid_loss: 0.000500, best_valid_loss: 0.000375, lr: 0.01000
2019-04-24 11:13:30.735408: iter: [11/30], train_loss: 0.004198, valid_loss: 0.000272, best_valid_loss: 0.000272, lr: 0.01000
2019-04-24 11:13:32.601358: iter: [12/30], train_loss: 0.003137, valid_loss: 0.000254, best_valid_loss: 0.000254, lr: 0.01000
2019-04-24 11:13:34.490928: iter: [13/30], train_loss: 0.002907, valid_loss: 0.000200, best_valid_loss: 0.000200, lr: 0.01000
2019-04-24 11:13:36.329095: iter: [14/30], train_loss: 0.003088, valid_loss: 0.000423, best_valid_loss: 0.000200, lr: 0.01000
2019-04-24 11:13:38.196910: iter: [15/30], train_loss: 0.005476, valid_loss: 0.000350, best_valid_loss: 0.000200, lr: 0.01000
2019-04-24 11:13:40.083425: iter: [16/30], train_loss: 0.004164, valid_loss: 0.000244, best_valid_loss: 0.000200, lr: 0.01000
2019-04-24 11:13:41.935180: iter: [17/30], train_loss: 0.002606, valid_loss: 0.000207, best_valid_loss: 0.000200, lr: 0.01000
2019-04-24 11:13:43.814847: iter: [18/30], train_loss: 0.002500, valid_loss: 0.000217, best_valid_loss: 0.000200, lr: 0.01000
2019-04-24 11:13:45.696073: iter: [19/30], train_loss: 0.002695, valid_loss: 0.000194, best_valid_loss: 0.000194, lr: 0.01000
2019-04-24 11:13:47.533569: iter: [20/30], train_loss: 0.002792, valid_loss: 0.000200, best_valid_loss: 0.000194, lr: 0.01000
2019-04-24 11:13:49.422841: iter: [21/30], train_loss: 0.002489, valid_loss: 0.000194, best_valid_loss: 0.000194, lr: 0.01000
2019-04-24 11:13:51.325853: iter: [22/30], train_loss: 0.002424, valid_loss: 0.000188, best_valid_loss: 0.000188, lr: 0.01000
2019-04-24 11:13:53.176916: iter: [23/30], train_loss: 0.002527, valid_loss: 0.000190, best_valid_loss: 0.000188, lr: 0.01000
2019-04-24 11:13:55.022000: iter: [24/30], train_loss: 0.002549, valid_loss: 0.000204, best_valid_loss: 0.000188, lr: 0.01000
2019-04-24 11:13:56.876758: iter: [25/30], train_loss: 0.002253, valid_loss: 0.000212, best_valid_loss: 0.000188, lr: 0.01000
2019-04-24 11:13:58.752448: iter: [26/30], train_loss: 0.002197, valid_loss: 0.000243, best_valid_loss: 0.000188, lr: 0.01000
2019-04-24 11:14:00.616171: iter: [27/30], train_loss: 0.002234, valid_loss: 0.000207, best_valid_loss: 0.000188, lr: 0.01000
2019-04-24 11:14:02.550587: iter: [28/30], train_loss: 0.002235, valid_loss: 0.000187, best_valid_loss: 0.000187, lr: 0.01000
2019-04-24 11:14:04.471291: iter: [29/30], train_loss: 0.002696, valid_loss: 0.000171, best_valid_loss: 0.000171, lr: 0.01000
2019-04-24 11:14:06.322436: iter: [30/30], train_loss: 0.002178, valid_loss: 0.000207, best_valid_loss: 0.000171, lr: 0.01000
